dataset,source,label,key,term,IRI,Status,ERROR,,,,,,,,,,,
Helena,Eisenmann,anterior IPHIII minimal length of the trigonum phalangis,,,,,,,,,,,,,,,,
Helena,Eisenmann,anterior IPHIII medial supratuberosital length,,,,,,,,,,,,,,,,
Helena,Eisenmann,anterior IPHIII lateral supratuberosital length,,,,,,,,,,,,,,,,
Helena,Eisenmann,anterior IPHIII medial infratuberosital length,,,,,,,,,,,,,,,,
Helena,Eisenmann,anterior IPHIII lateral infratuberosital length,,,,,,,,,,,,,,,,
Helena,Eisenmann,anterior IIPHIII maximal length,,,,,,,,,,,,,,,,
Helena,Eisenmann,anterior IIPHIII anterior length,,,,,,,,,,,,,,,,
Helena,Eisenmann,anterior IIPHIII minimal breadth,,,,,,,,,,,,,,,,
Helena,Eisenmann,anterior IIPHIII proximal breadth,,,,,,,,,,,,,,,,
Helena,Eisenmann,anterior IIPHIII proximal depth,,,,,,,,,,,,,,,,
Helena,Eisenmann,anterior IIPHIII distal breadth at the tuberosities,,,,,,,,,,,,,,,,
Helena,Eisenmann,posterior IPHIII maximal length,,,,,,,,,,,,,,,,
Helena,Eisenmann,posterior IPHIII anterior length,,,,,,,,,,,,,,,,
Helena,Eisenmann,posterior IPHIII minimal breadth,,,,,,,,,,,,,,,,
Helena,Eisenmann,posterior IPHIII proximal breadth,,,,,,,,,,,,,,,,
Helena,Eisenmann,posterior IPHIII proximal depth,,,,,,,,,,,,,,,,
Helena,Eisenmann,posterior IPHIII distal breadth at the tuberosities,,,,,,,,,,,,,,,,
Helena,Eisenmann,posterior IPHIII distal articular breadth,,,,,,,,,,,,,,,,
Helena,Eisenmann,posterior IPHIII distal articular depth,,,,,,,,,,,,,,,,
Helena,Eisenmann,posterior IPHIII minimal length of the trigonum phalangis,,,,,,,,,,,,,,,,
Helena,Eisenmann,posterior IPHIII medial supratuberosital length,,,,,,,,,,,,,,,,
Helena,Eisenmann,posterior IPHIII lateral supratuberosital length,,,,,,,,,,,,,,,,
Helena,Eisenmann,posterior IPHIII medial infratuberosital length,,,,,,,,,,,,,,,,
Helena,Eisenmann,posterior IPHIII lateral infratuberosital length,,,,,,,,,,,,,,,,
Helena,Eisenmann,posterior IIPHIII maximal length,,,,,,,,,,,,,,,,
Helena,Eisenmann,posterior IIPHIII anterior length,,,,,,,,,,,,,,,,
Helena,Eisenmann,posterior IIPHIII minimal breadth,,,,,,,,,,,,,,,,
Helena,Eisenmann,posterior IIPHIII proximal breadth,,,,,,,,,,,,,,,,
Helena,Eisenmann,posterior IIPHIII proximal depth,,,,,,,,,,,,,,,,
Helena,Eisenmann,posterior IIPHIII distal breadth at the tuberosities,,,,,,,,,,,,,,,,
Helena,Eisenmann and De Giuli 1974,skull diastema,,,,,,,,,,,,,,,,
Helena,Eisenmann and De Giuli 1974,skull P2P4 length,,,,,,,,,,,,,,,,
Helena,Eisenmann and De Giuli 1974,skull P2M3 length,,,,,,,,,,,,,,,,
Helena,Eisenmann and De Giuli 1974,skull POE width,,,,,,,,,,,,,,,,
Helena,Eisenmann and De Giuli 1974,skull width between I3,,,,,,,,,,,,,,,,
Helena,Eisenmann and De Giuli 1974,skull Infraorbital height,,,,,,,,,,,,,,,,
Helena,Eisenmann and De Giuli 1974,skull orbital diameter,,,,,,,,,,,,,,,,
Helena,Eisenmann and De Giuli 1974,skull anterior eye line,,,,,,,,,,,,,,,,
Helena,Eisenmann and De Giuli 1974,skull occipital width,,,,,,,,,,,,,,,,
Helena,Eisenmann and De Giuli 1974,skull occipital hole width,,,,,,,,,,,,,,,,
Helena,Eisenmann and De Giuli 1974,skull width,,,,,,,,,,,,,,,,
Helena,Eisenmann and De Giuli 1974,skull palais-vomer,,,,,,,,,,,,,,,,
Helena,Eisenmann and De Giuli 1974,skull vomer-basion,,,,,,,,,,,,,,,,
Helena,Eisenmann and De Giuli 1974,skull facial width,,,,,,,,,,,,,,,,
Helena,Eisenmann and De Giuli 1974,skull P2-Basion length,,,,,,,,,,,,,,,,
Helena,Eisenmann and De Giuli 1974,skull frontal width,,,,,,,,,,,,,,,,
Helena,Eisenmann and De Giuli 1974,skull orbital height,,,,,,,,,,,,,,,,
Helena,Eisenmann and De Giuli 1974,skull posterior eye line,,,,,,,,,,,,,,,,
Helena,Eisenmann ,skull basilar length,,,,,,,,,,,,,,,,
Helena,Eisenmann,skull palatal length,,,,,,,,,,,,,,,,
Helena,Eisenmann,skull muzzle length,,,,,,,,,,,,,,,,
Helena,Eisenmann,skull vomerine length,,,,,,,,,,,,,,,,
Helena,Eisenmann,skull post-vomerine length,,,,,,,,,,,,,,,,
Helena,Eisenmann,skull post-palatal length,,,,,,,,,,,,,,,,
Helena,Eisenmann,skull premolar length,,,,,,,,,,,,,,,,
Helena,Eisenmann,skull molar length,,,,,,,,,,,,,,,,
Helena,Eisenmann,skull upper cheek teeth length,,,,,,,,,,,,,,,,
Helena,Eisenmann,skull choanal length,,,,,,,,,,,,,,,,
Helena,Eisenmann,skull minimal breadth of the choanae,,,,,,,,,,,,,,,,
Helena,Eisenmann,skull maximal breadth of the choanae,,,,,,,,,,,,,,,,
Helena,Eisenmann,skull palatal breadth,,,,,,,,,,,,,,,,
Helena,Eisenmann,skull minimal muzzle breadth,,,,,,,,,,,,,,,,
Helena,Eisenmann,skull length of fossa temporalis,,,,,,,,,,,,,,,,
Helena,Eisenmann,skull length between basion and the foramen ethmoidalis,,,,,,,,,,,,,,,,
Helena,Eisenmann,skull frontal breadth,,,,,,,,,,,,,,,,
Helena,Eisenmann,skull bizygomatic breadth,,,,,,,,,,,,,,,,
Helena,Eisenmann,skull occipital breadth,,,,,,,,,,,,,,,,
Helena,Eisenmann,skull basioccipital breadth,,,,,,,,,,,,,,,,
Helena,Eisenmann,skull occipital height,,,,,,,,,,,,,,,,
Helena,Eisenmann,skull anterior ocular line,,,,,,,,,,,,,,,,
Helena,Eisenmann,skull posterior ocular line,,,,,,,,,,,,,,,,
Helena,Eisenmann,skull facial height,,,,,,,,,,,,,,,,
Helena,Eisenmann,skull cranial height,,,,,,,,,,,,,,,,
Helena,Eisenmann,skull exterior height of the meatus auditivus externus,,,,,,,,,,,,,,,,
Helena,Eisenmann,skull antero-posterior orbital diameter,,,,,,,,,,,,,,,,
Helena,Eisenmann,skull orbital diameter perpendicular to the antero-posterior orbital diameter,,,,,,,,,,,,,,,,
Helena,Eisenmann,skull length of the naso-incisival notch,,,,,,,,,,,,,,,,
Helena,Eisenmann,skull cheek length,,,,,,,,,,,,,,,,
Helena,Eisenmann,skull distance between the orbit and the preorbital fossa,,,,,,,,,,,,,,,,
Helena,Eisenmann,skull length of the preorbital fossa,,,,,,,,,,,,,,,,
Helena,Eisenmann,skull distance between the back of the preorbital fossa and the foramen infra-orbitale,,,,,,,,,,,,,,,,
Helena,Eisenmann,skull height of the preorbital fossa,,,,,,,,,,,,,,,,
Helena,Eisenmann,skull distance between the preorbital fossa and the facial crest,,,,,,,,,,,,,,,,
Helena,Eisenmann,skull height of back of the foramen infra-orbitale above the alveolar border,,,,,,,,,,,,,,,,
Helena,Eisenmann,skull post-vomerine length,,,,,,,,,,,,,,,,
Helena,Eisenmann,skull muzzle breadth,,,,,,,,,,,,,,,,
Helena,Eisenmann,skull exterior height of the meatus auditivus externus,,,,,,,,,,,,,,,,
Helena,Eisenmann,skull height of the back of the preorbital fossa above the alveolar border,,,,,,,,,,,,,,,,
Helena,Eisenmann 1976,P2 protocone length,,,,,,,,,,,,,,,,
Helena,Eisenmann 1976,P2 protocone width,,,,,,,,,,,,,,,,
Helena,Eisenmann 1976,P3 protocone length,,,,,,,,,,,,,,,,
Helena,Eisenmann 1976,P3 protocone width,,,,,,,,,,,,,,,,
Helena,Eisenmann 1976,P4 protocone length,,,,,,,,,,,,,,,,
Helena,Eisenmann 1976,P4 protocone width,,,,,,,,,,,,,,,,
Helena,Eisenmann 1976,M1 protocone length,,,,,,,,,,,,,,,,
Helena,Eisenmann 1976,M1 protocone width,,,,,,,,,,,,,,,,
Helena,Eisenmann 1976,M2 protocone length,,,,,,,,,,,,,,,,
Helena,Eisenmann 1976,M2 protocone width,,,,,,,,,,,,,,,,
Helena,Eisenmann 1976,M3 protocone length,,,,,,,,,,,,,,,,
Helena,Eisenmann 1976,M3 protocone width,,,,,,,,,,,,,,,,
Helena,Eisenmann,mandible length,,,,,,,,,,,,,,,,
Helena,Eisenmann,mandible muzzle length,,,,,,,,,,,,,,,,
Helena,Eisenmann,mandible molar length,,,,,,,,,,,,,,,,
Helena,Eisenmann,mandible premolar length,,,,,,,,,,,,,,,,
Helena,Eisenmann,mandible lower cheek teeth length,,,,,,,,,,,,,,,,
Helena,Eisenmann,mandible muzzle breadth,,,,,,,,,,,,,,,,
Helena,Eisenmann,mandible height of the mandible at the condyle,,,,,,,,,,,,,,,,
Helena,Eisenmann,mandible height of the ascending ramus,,,,,,,,,,,,,,,,
Helena,Eisenmann,mandible height of the jaw posterior to mpremolar length,,,,,,,,,,,,,,,,
Helena,Eisenmann,mandible height of the jaw between pmolar length and mlength,,,,,,,,,,,,,,,,
Helena,Eisenmann,mandible height of the jaw in front of pmuzzle length,,,,,,,,,,,,,,,,
Helena,Eisenmann,mandible length of the symphysis,,,,,,,,,,,,,,,,
Helena,Eisenmann,mandible minimal breadth of the symphysis,,,,,,,,,,,,,,,,
Helena,Eisenmann,mandible distance between the back of the alveole of m3 and the posterior edge of the ascending ramus,,,,,,,,,,,,,,,,
Helena,Eisenmann and De Giuli 1974,mandible diastema,,,,,,,,,,,,,,,,
Helena,Eisenmann and De Giuli 1974,mandible p2p4 length,,,,,,,,,,,,,,,,
Helena,Eisenmann and De Giuli 1974,mandible symphyseal length,,,,,,,,,,,,,,,,
Helena,Eisenmann and De Giuli 1974,mandible width between i3,,,,,,,,,,,,,,,,
Helena,Eisenmann and De Giuli 1974,mandible height,,,,,,,,,,,,,,,,
Helena,Eisenmann and De Giuli 1974,mandible minimum collar width,,,,,,,,,,,,,,,,
Helena,Eisenmann and De Giuli 1974,mandible maximal symphysis thickness,,,,,,,,,,,,,,,,
Helena,Eisenmann and De Giuli 1974,mandible radius from the angle,,,,,,,,,,,,,,,,
Helena,Eisenmann and De Giuli 1974,mandible p2m3 length,,,,,,,,,,,,,,,,
Helena,Eisenmann 1976,p2 ectostylide length,,,,,,,,,,,,,,,,
Helena,Eisenmann 1976,p3 ectostylide length,,,,,,,,,,,,,,,,
Helena,Eisenmann 1976,p4 ectostylide length,,,,,,,,,,,,,,,,
Helena,Eisenmann 1976,m1 ectostylide length,,,,,,,,,,,,,,,,
Helena,Eisenmann 1976,m2 ectostylide length,,,,,,,,,,,,,,,,
Helena,Eisenmann 1976,m3 ectostylide length,,,,,,,,,,,,,,,,
Helena,Eisenmann,astragalus maximal length,,,,,,,,,,,,,,,,
Helena,Eisenmann,astragalus maximal diameter of the medial condyle,,,,,,,,,,,,,,,,
Helena,Eisenmann,astragalus breadth of the trochlea,,,,,,,,,,,,,,,,
Helena,Eisenmann,astragalus maximal breadth,,,,,,,,,,,,,,,,
Helena,Eisenmann,astragalus distal articular breadth,,,,,,,,,,,,,,,,
Helena,Eisenmann,astragalus distal articular depth,,,,,,,,,,,,,,,,
Helena,Eisenmann,astragalus maximal medial depth,,,,,,,,,,,,,,,,
Helena,Eisenmann,IPHIII maximal length,,,,,,,,,,,,,,,,
Helena,Eisenmann,IPHIII anterior length,,,,,,,,,,,,,,,,
Helena,Eisenmann,IPHIII minimal breadth,,,,,,,,,,,,,,,,
Helena,Eisenmann,IPHIII proximal breadth,,,,,,,,,,,,,,,,
Helena,Eisenmann,IPHIII proximal depth,,,,,,,,,,,,,,,,
Helena,Eisenmann,IPHIII distal breadth at the tuberosities,,,,,,,,,,,,,,,,
Helena,Eisenmann,IPHIII distal articular breadth,,,,,,,,,,,,,,,,
Helena,Eisenmann,IPHIII distal articular depth,,,,,,,,,,,,,,,,
Helena,Eisenmann,IPHIII minimal length of the trigonum phalangis,,,,,,,,,,,,,,,,
Helena,Eisenmann,humerus maximal length from caput,,,,,,,,,,,,,,,,
Helena,Eisenmann,humerus minimal breadth,,humerus diaphysis breadth,FOVT:0001034,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,humerus diameter,,,,,,,,,,,,,,,,
Helena,Eisenmann,humerus proximal maximal breadth,,humerus proximal breadth,FOVT:0001035,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,humerus maximal breadth of the trochlea,,humerus trochlea breadth,FOVT:0001036,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,humerus distal maximal depth,,humerus distal depth,FOVT:0001037,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,humerus maximal trochlear height,,humerus medial trochlear height,FOVT:0001068,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,humerus minimal trochlear height,,humerus trochlear sulcus height,FOVT:0001067,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,humerus trochlear height at the sagittal crest,,humerus trochlear height at sagittal crest,FOVT:0001069,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,radius minimal breadth,,radius diaphysis breadth,FOVT:0001125,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,radius depth of the diaphysis,,radius diaphysis depth,FOVT:0001126,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,radius distal articular breadth,,radius distal articular breadth,FOVT:0001130,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,radius distal articular depth,,radius distal articular depth,FOVT:0001131,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,radius distal maximal breadth,,radius distal breadth,FOVT:0001132,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,radius breadth of the radial condyle,,radial condyle breadth,FOVT:0001161,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,radius breadth of the ulnar condyle,,ulnar condyle breadth,FOVT:0001162,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,radius maximal length,,radius length,OBA:VT0004355,in OBA,,,,,,,,,,,,
Helena,Eisenmann,radius medial length,,radius medial length,FOVT:0001123,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,radius proximal articular breadth,,radius proximal articular breadth,FOVT:0001127,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,radius proximal articular depth,,radius proximal articular depth,FOVT:0001128,in FOVT,,,,,,,,,,,,
Helena,,scaphoid maximal anteroposterior diameter,,,,,,,,,,,,,,,,
Helena,,scaphoid maximal height,,,,,,,,,,,,,,,,
Hopkins,,mass (g),,body mass,OBA:VT0001259,in OBA,,,,,,,,,,,,
Hopkins,,M1 width (mm),,upper secondary molar tooth 1 occlusal surface width,FOVT:0001169,in FOVT,,,,,,,,,,,,
Hopkins,lower tooth row length,LTRL (mm),,lower tooth row length,FOVT:0001285,in FOVT,,,,,,,,,,,,
Joaquin,,M3 upper length,,upper molar tooth 3 occlusal surface length,FOVT:0001201,in FOVT,,,,,,,,,,,,
Joaquin,,m3 lower length,,lower molar tooth 3 occlusal surface length,FOVT:0001202,in FOVT,,,,,,,,,,,,
Joaquin,,M3 upper breadth,,upper molar tooth 3 occlusal surface width,FOVT:0001195,in FOVT,,,,,,,,,,,,
Joaquin,,m3 lower breadth,,lower molar tooth 3 occlusal surface width,FOVT:0001196,in FOVT,,,,,,,,,,,,
Joaquin,,P2 upper length,,upper molar tooth 3 occlusal surface length,FOVT:0001201,in FOVT,,,,,,,,,,,,
Joaquin,,p2 lower length,,lower molar tooth 3 occlusal surface length,FOVT:0001202,in FOVT,,,,,,,,,,,,
Joaquin,,P2 upper breadth,,upper premolar tooth 2 occlusal surface width,FOVT:0001229,in FOVT,,,,,,,,,,,,
Joaquin,,p2 lower breadth,,lower premolar tooth 2 occlusal surface width,FOVT:0001230,in FOVT,,,,,,,,,,,,
Joaquin,,P2 upper base length,,,,,,,,,,,,,,,,
Joaquin,,P2 upper height,,,,,,,,,,,,,,,,
Joaquin,,P2 upper protocone length,,,,,,,,,,,,,,,,
Joaquin,,P3-4 upper length,,,,,,,,,,,,,,,,
Joaquin,,P3-4 upper breadth,,,,,,,,,,,,,,,,
Joaquin,,P3-4 upper base length,,,,,,,,,,,,,,,,
Joaquin,,P3-4 upper height,,,,,,,,,,,,,,,,
Joaquin,,P3-4 upper protocone length,,,,,,,,,,,,,,,,
Joaquin,,M1-2 upper length,,upper molar tooth 1-2 length,FOVT:0001320,in FOVT,,,,,,,,,,,,
Joaquin,,M1-2 upper breadth,,,,,,,,,,,,,,,,
Joaquin,,M1-2 upper base length,,,,,,,,,,,,,,,,
Joaquin,,M1-2 upper height,,,,,,,,,,,,,,,,
Joaquin,,M1-2 upper protocone length,,,,,,,,,,,,,,,,
Joaquin,,M3 upper base length,,,,,,,,,,,,,,,,
Joaquin,,M3 upper height,,,,,,,,,,,,,,,,
Joaquin,,M3 upper protocone length,,,,,,,,,,,,,,,,
Joaquin,,p2 lower base length,,,,,,,,,,,,,,,,
Joaquin,,p2 lower height,,,,,,,,,,,,,,,,
Joaquin,,p2 lower protocone length,,,,,,,,,,,,,,,,
Joaquin,,p3-4 lower length,,,,,,,,,,,,,,,,
Joaquin,,p3-4 lower breadth,,,,,,,,,,,,,,,,
Joaquin,,p3-4 lower base length,,,,,,,,,,,,,,,,
Joaquin,,p3-4 lower height,,,,,,,,,,,,,,,,
Joaquin,,p3-4 lower protocone length,,,,,,,,,,,,,,,,
Joaquin,,m1-2 lower length,,lower molar tooth 1-2 length,FOVT:0001321,in FOVT,,,,,,,,,,,,
Joaquin,,m1-2 lower breadth,,,,,,,,,,,,,,,,
Joaquin,,m1-2 lower base length,,,,,,,,,,,,,,,,
Joaquin,,m1-2 lower height,,,,,,,,,,,,,,,,
Joaquin,,m1-2 lower  protocone length,,,,,,,,,,,,,,,,
Joaquin,,m3 lower base length,,,,,,,,,,,,,,,,
Joaquin,,m3 lower height,,,,,,,,,,,,,,,,
Joaquin,,m3 lower protocone length,,,,,,,,,,,,,,,,
Joaquin,,scaphoid maximal breadth,,,,,,,,,,,,,,,,
Joaquin,,scaphoid maximal height,,,,,,,,,,,,,,,,
Joaquin,,scaphoid maximal depth,,,,,,,,,,,,,,,,
Joaquin,,lunatum proximal length,,,,,,,,,,,,,,,,
Joaquin,,lunatum proximal breadth,,,,,,,,,,,,,,,,
Joaquin,,lunatum distal length,,,,,,,,,,,,,,,,
Joaquin,,lunatum distal breadth,,,,,,,,,,,,,,,,
Joaquin,,lunatum external height,,,,,,,,,,,,,,,,
Joaquin,,pyramidal maximal breadth,,,,,,,,,,,,,,,,
Joaquin,,pyramidal maximal height,,,,,,,,,,,,,,,,
Joaquin,,pyramidal maximal depth,,,,,,,,,,,,,,,,
Joaquin,,pisiform maximal breadth,,,,,,,,,,,,,,,,
Joaquin,,pisiform maximal height,,,,,,,,,,,,,,,,
Joaquin,,magnum proximal length,,,,,,,,,,,,,,,,
Joaquin,,magnum proximal breadth,,,,,,,,,,,,,,,,
Joaquin,,magnum distal length,,,,,,,,,,,,,,,,
Joaquin,,magnum distal breadth,,,,,,,,,,,,,,,,
Joaquin,,magnum external height,,,,,,,,,,,,,,,,
Joaquin,,unciform maximal breadth,,,,,,,,,,,,,,,,
Joaquin,,unciform maximal height,,,,,,,,,,,,,,,,
Joaquin,,unciform maximal depth,,,,,,,,,,,,,,,,
Joaquin,,big cuneiform proximal length,,,,,,,,,,,,,,,,
Joaquin,,big cuneiform proximal breadth,,,,,,,,,,,,,,,,
Joaquin,,big cuneiform distal length,,,,,,,,,,,,,,,,
Joaquin,,big cuneiform distal breadth,,,,,,,,,,,,,,,,
Joaquin,,big cuneiform external height,,,,,,,,,,,,,,,,
Joaquin,,cuboid maximal breadth,,,,,,,,,,,,,,,,
Joaquin,,cuboid maximal height,,,,,,,,,,,,,,,,
Joaquin,,cuboid maximal depth,,,,,,,,,,,,,,,,
Joaquin,,navicular proximal length,,,,,,,,,,,,,,,,
Joaquin,,navicular proximal breadth,,,,,,,,,,,,,,,,
Joaquin,,navicular distal length,,,,,,,,,,,,,,,,
Joaquin,,navicular distal breadth,,,,,,,,,,,,,,,,
Joaquin,,navicular external height,,,,,,,,,,,,,,,,
Juha,Scott 1990,Femur minimum diaphysis width; F6,,femur diaphysis breadth,FOVT:0001027,in FOVT,,,,,,,,,,,,
Juha,Scott 1990,Femur maximum distal width; F5,,femur distal breadth,FOVT:0001029,in FOVT,,,,,,,,,,,,
Juha,Scott 1990,Femur medial length; F1,,femur length from caput to medial condyle,FOVT:0000007,in FOVT,,,,,,,,,,,,
Juha,Scott 1990,Humerus minimum diaphysis width; H7,,humerus diaphysis breadth,FOVT:0001034,in FOVT,,,,,,,,,,,,
Juha,Scott 1990,Humerus trochlea width; H4,,humerus trochlea breadth,FOVT:0001036,in FOVT,,,,,,,,,,,,
Juha,Scott 1990,Humerus medial length; H1,,,,,,,,,,,,,,,,
Juha,Scott 1990; Alberdi et al. 1995,Metacarpal III minimum diaphysis width; MC6; MC3,,,,,,,,,,,,,,,,
Juha,Scott 1990; Alberdi et al. 1995,Metacarpal III proximal width; MC2; MC5,,,,,,,,,,,,,,,,
Juha,Scott 1990; Alberdi et al. 1995,Metacarpal III maximum distal width; MC4; MC10,,,,,,,,,,,,,,,,
Juha,Scott 1990; Alberdi et al. 1995,Metacarpal III maximum length; MC1; MC1,,,,,,,,,,,,,,,,
Juha,Scott 1990; Alberdi et al. 1995,Metatarsal III minimum diaphysis width; MT6; MT3,,,,,,,,,,,,,,,,
Juha,Scott 1990; Alberdi et al. 1995,Metatarsal III proximal width; MT2; MT5,,,,,,,,,,,,,,,,
Juha,Scott 1990; Alberdi et al. 1995,Metatarsal III maximum distal width; MT4; MT10,,,,,,,,,,,,,,,,
Juha,Scott 1990; Alberdi et al. 1995,Metatarsall III maximum length; MT1; MT1,,,,,,,,,,,,,,,,
Juha,Scott 1990; Alberdi et al. 1995,Radius minimum diaphysis width; R6; R3,,radius diaphysis width,,,,,,,,,,,,,,
Juha,Scott 1990; Alberdi et al. 1995,Radius proximal articular width; R2; R5,,radius proximal articular width,FOVT:0001150,in FOVT,,,,,,,,,,,,
Juha,Scott 1990; Alberdi et al. 1995,Radius distal maximum width; R5; R10,,radius distal width,FOVT:0001148,in FOVT,,,,,,,,,,,,
Juha,Scott 1990; Alberdi et al. 1995,Radius maximum length; R1; R1,,radius length,OBA:VT0004355,in OBA,,,,,,,,,,,,
Juha,Scott 1990; Alberdi et al. 1995,Tibia minimum diaphysis width; T6; T3,,tibia diaphysis width,FOVT:0000026,in FOVT,,,,,,,,,,,,
Juha,Scott 1990; Alberdi et al. 1995,Tibia maximum proximal width; T2; T5,,tibia proximal width,FOVT:0000027,in FOVT,,,,,,,,,,,,
Juha,Scott 1990; Alberdi et al. 1995,Tibial maximum distal width; T4; T10,,tibia distal width,FOVT:0000028,in FOVT,,,,,,,,,,,,
Juha,Scott 1990; Alberdi et al. 1995,Tibia length; T1; T1,,tibia length,OBA:VT0004357,in OBA,,,,,,,,,,,,
Juha,,m2 length,,lower molar tooth 2 occlusal surface length,FOVT:0001189,in FOVT,,,,,,,,,,,,
Juha,,m1 length,,lower molar tooth 1 occlusal surface length,FOVT:0001175,in FOVT,,,,,,,,,,,,
Juha,,M2 length,,upper molar tooth 2 occlusal surface length,FOVT:0001188,in FOVT,,,,,,,,,,,,
Juha,,M2 area,,,,,,,,,,,,,,,,
Juha,,M1 length,,upper molar tooth 1 occlusal surface length,FOVT:0001174,in FOVT,,,,,,,,,,,,
Kitty,von Dendriesch,Height (mm) [define?],,body height,OBA:VT0001253,in OBA,,,,,,,,,,,,
kitty,,TL (mm) [Total Length],,body length with tail,FOVT:0000001,in FOVT,,,,,,,,,,,,
kitty,,Total Fresh Weight (g),,body mass,OBA:VT0001259,in OBA,,,,,,,,,,,,
kitty,von Dendriesch,"Calcaneus GB; Calcaneus GB, (greatest breadth, von den Driesch 1976), mm",,calcaneus distal breadth,FOVT:0000023,in FOVT,,,,,,,,,,,,
kitty,von Dendriesch,"Calcaneus GL; Calcaneus GL, (greatest length, von den Driesch, 1976), mm",,calcaneus length,FOVT:0000022,in FOVT,,,,,,,,,,,,
kitty,von Dendriesch,"Calcaneus CALD; Calcaneus CALD, (lateral depth, Purdue 1987), mm",,calcanus distal depth,FOVT:0001048,in FOVT,,,,,,,,,,,,
kitty,,En (mm) [Ear Noth = Ear Length],,ear length to notch,FOVT:0000005,in FOVT,,,,,,,,,,,,
kitty,von Dendriesch,Femur.GL,,femur length from greater trochanter to medial condyle,FOVT:0000007,in FOVT,,,,,,,,,,,,
kitty,,HF (mm) [Hind Foot Length],,pes length,OBA:1000049,in OBA,,,,,,,,,,,,
kitty,von Dendriesch,Humerus.GLC,,humerus length from trochlea to caput,FOVT:0000008,in FOVT,,,,,,,,,,,,
kitty,von Dendriesch,Humerus.GL,,humerus length from trochlea to ventral tubercle,FOVT:0000009,in FOVT,,,,,,,,,,,,
kitty,,TA (mm) [Tail Length],,tail length,OBA:VT0002758,in OBA,,,,,,,,,,,,
kitty,von Dendriesch,Astragalus Bfd,,talus distal articular breadth,FOVT:0000017,in FOVT,,,,,,,,,,,,
kitty,von Dendriesch,Astragalus distal articular breadth,,talus distal articular breadth,FOVT:0000017,in FOVT,,,,,,,,,,,,
kitty,von Dendriesch,Breadth astragalus of facies articularis distalis,,talus distal articular breadth,FOVT:0000017,in FOVT,,,,,,,,,,,,
kitty,von Dendriesch,Breadth of astragalus distal articular surface,,talus distal articular breadth,FOVT:0000017,in FOVT,,,,,,,,,,,,
kitty,von Dendriesch,Astragalus distal articular depth,,talus distal articular breadth,FOVT:0000017,in FOVT,,,,,,,,,,,,
kitty,von Dendriesch,"Astragalus GLI; Astragalus GLl, (greatest length of the lateral side, von den Driesch 1976), mm; Astragalus greatest length lateral",,talus lateral length,FOVT:0000013,in FOVT,,,,,,,,,,,,
kitty,von Dendriesch,Astragalus GH,,talus length,FOVT:0000020,in FOVT,,,,,,,,,,,,
kitty,von Dendriesch,Astragalus greatest depth medial,,talus medial depth,FOVT:0001043,in FOVT,,,,,,,,,,,,
kitty,von Dendriesch,Maximal medial depth,,talus medial depth,FOVT:0001043,in FOVT,,,,,,,,,,,,
kitty,von Dendriesch,"Astragalus Dm; Astragalus Dm (greatest depth of the medial side, von den Driesch 1976), mm",,talus medial depth,FOVT:0001043,in FOVT,,,,,,,,,,,,
kitty,von Dendriesch,Astragalus LmT,,trochlea tali length,FOVT:0001045,in FOVT,,,,,,,,,,,,
kitty,von Dendriesch,Astragalus length of medial part of trochlea tali,,trochlea tali length,FOVT:0001045,in FOVT,,,,,,,,,,,,
kitty,von Dendriesch,"Tibia SD; Tibia SD, (smallest breadth of the diaphysis, von den Driesch 1976), mm",,tibia diaphysis breadth,FOVT:0001008,in FOVT,,,,,,,,,,,,
kitty,von Dendriesch,"Tibia Bd; Tibia Bd, (greatest breadth of the distal end, von den Driesch 1976), mm",,tibia distal breadth,FOVT:0001004,in FOVT,,,,,,,,,,,,
kitty,von Dendriesch,"Tibia Dd; Tibia Dd, (greatest depth of the distal end, von den Driesch 1976), mm",,tibia distal depth,FOVT:0001005,in FOVT,,,,,,,,,,,,
kitty,von Dendriesch,"Tibia GL; Tibia GL, (greatest length, von den Driesch 1976), mm",,tibia length,OBA:VT0004357,in OBA,,,,,,,,,,,,
kitty,von Dendriesch,"Tibia Ll; Tibia Ll, (length of the lateral side, von den Driesch 1976 *note she says only in horses), mm",,tibia lateral length,FOVT:0000025,in FOVT,,,,,,,,,,,,
kitty,von Dendriesch,"Tibia Bp; Tibia Bp, (greatest breadth of the proximal end, von den Driesch 1976), mm",,tibia proximal breadth,FOVT:0001006,in FOVT,,,,,,,,,,,,
